language,Tiếng Việt - vi,English - En,Indonesian - Indo,(ภาษาไทย) - Thai,Pусский - Russian,Deutsch - German,日本語 - Japanese,(简体字) - Chinese (Simplified),繁體漢字 - Chinese (Phồn thể),(Português Brasileiro) - Portuguese (Brazil),Português - Portuguese,Français - French,(français) - French (Canada),한국어 - Korean,Español - Spanish,Italiano - Italian,Hindi - India
level_with_num,Màn {0},Level {0},Level {0},,Уровень {0},Level {0},レベル {0},,關卡 {0},,Nível {0},Niveau {0},,레벨 {0},Nivel {0},Livello {0},स्तर {0}
home_play,Chơi,Play,Main,,Играть,Spielen,プレイ,,開始遊戲,,Jogar,Jouer,,플레이,Jugar,Gioca,खेलें
keep_playing,Tiếp tục,Keep Playing,Terus Main,,Продолжить играть,Weiterspielen,続けてプレイ,,繼續遊戲,,Continuar Jogando,Continuer à jouer,,계속 플레이,Seguir Jugando,Continua a giocare,खेलते रहें
give_up,Bỏ cuộc,Give Up,Menyerah,,Сдаться,Aufgeben,あきらめる,,放棄,,Desistir,Abandonner,,포기,Rendirse,Arrendersi,हार मान लें
out_of_space,Hết chỗ,NO MORE SPACE!,Ruang Habis,,Нет места,Kein Platz mehr,スペース不足,,沒有空間,,Sem Espaço,Plus de place,,공간 부족,Sin Espacio,Spazio esaurito,स्थान समाप्त
out_of_space_content,Bạn đã hết chỗ. Hãy lấp đầy hộp dụng cụ với vít đúng và tiếp tục chơi!,Open new hole,Ruang habis. Isi kotak peralatan dengan sekrup yang benar dan lanjutkan bermain!,,Нет места. Заполните ящики правильными винтами и продолжайте играть!,Kein Platz mehr. Fülle die Werkzeugkisten mit den richtigen Schrauben und spiele weiter!,スペースが不足しています。正しいネジでツールボックスを満たし、ゲームを続けてください！,,沒有空間了。填滿工具箱後繼續遊戲！,,Você está sem espaço. Preencha as caixas de ferramentas com os parafusos corretos e continue jogando!,Vous n'avez plus de place. Remplissez les boîtes à outils avec les bonnes vis et continuez à jouer !,,공간이 부족합니다. 올바른 나사로 도구 상자를 채우고 계속 플레이하세요!,No tienes espacio. Llena las cajas de herramientas con los tornillos correctos y sigue jugando!,Spazio esaurito. Riempire le cassette degli attrezzi con le viti corrette e continuare a giocare!,आपका स्थान समाप्त हो गया है। सही स्क्रू से टूलबॉक्स भरें और खेलते रहें!
bomb,,EXPLOSION!,,,,,,,,,,,,,,,
bomb_content,,PLAY ON to revive,,,,,,,,,,,,,,,
are_you_sure_content,Bạn sẽ mất một mạng!,You will lose a life!,Kamu akan kehilangan satu nyawa!,,Вы потеряете жизнь!,Du verlierst ein Leben!,ライフを失います！,,你將失去一條生命！,,Você vai perder uma vida!,Vous allez perdre une vie !,,목숨을 잃게 됩니다!,¡Perderás una vida!,Perderai una vita!,आप एक जीवन खो देंगे!
are_you_sure,Bạn có chắc không?,Are you sure?,Apakah kamu yakin?,,Вы уверены?,Bist du sicher?,確認しますか？,,你確定嗎？,,Você tem certeza?,Êtes-vous sûr ?,,확실합니까?,¿Estás seguro?,Sei sicuro?,क्या आप सुनिश्चित हैं?
leave,Thoát,Leave,Keluar,,Выйти,Verlassen,離脱,,離開,,Sair,Quitter,,나가기,Salir,Esci,छोड़ें
completed,Hoàn thành,Completed,Selesai,,Завершено,Abgeschlossen,完了,,已完成,,Concluído,Terminé,,완료됨,Completado,Completato,पूर्ण
level,Màn chơi,Level,Level,,Уровень,Level,レベル,,關卡,,Nível,Niveau,,레벨,Nivel,Livello,स्तर
menu_home,Trang chủ,HOME,BERANDA,,ГЛАВНАЯ,STARTSEITE,ホーム,,主頁,,INÍCIO,ACCUEIL,,홈,INICIO,CASA,घर
menu_shop,Cửa hàng,SHOP,TOKO,,МАГАЗИН,SHOP,ショップ,,商店,,LOJA,BOUTIQUE,,상점,TIENDA,NEGOZIO,दुकान
menu_top,Bảng Xếp Hạng,LEADERBOARD,Papan Skor,,ТАБЛИЦА ЛИДЕРОВ,BESTENLISTE,リーダーボード,,排行榜,,CLASSIFICAÇÃO,CLASSEMENT,,리더보드,TABLA DE LÍDERES,CLASSIFICA,लीडरबोर्ड
boost_hammer_guide,Chạm vào kính để phá vỡ,Tap on the glass to break ,Ketuk kaca untuk memecahkan,,"Нажмите на стекло, чтобы разбить","Tippe auf das Glas, um es zu zerbrechen",ガラスをタップして壊す,,點擊玻璃以打破,,Toque no vidro para quebrar,Tapez sur le verre pour casser,,유리를 깨기 위해 탭하세요,Toca el vidrio para romperlo,Tocca il vetro per romperlo,तोड़ने के लिए कांच पर टैप करें
boost_freeze_name,Búa,Freeze Timer,PALU,,МОЛОТОК,HAMMER,ハンマー,,錘子,,MARTELO,MARTEAU,,망치,MARTILLO,MARTELLO,हथौड़ा
boost_freeze_des,Phá kính,Freezes time for \n10 seconds,Pecahkan kaca,,Разбейте стекло,Zerbrich das Glas,ガラスを壊す,,打破玻璃,,Quebre o vidro,Casser un verre,,유리 깨기,Romper un vidrio,Rompi un vetro,एक कांच तोड़ो
boost_ghost_name,Lỗ thêm,Ghost Jelly,Lubang Tambahan,,Дополнительное отверстие,Extra Loch,追加の穴,,額外的孔,,Buraco Extra,Trou supplémentaire,,추가 구멍,Agujero Extra,Foro Extra,अतिरिक्त छेद
boost_ghost_des,Tạo lỗ mới,Move through any \nworm or obstacle!,Dapatkan lubang baru,,Получите новое отверстие,Neues Loch erhalten,新しい穴を取得,,獲取新孔,,Obtenha um novo buraco,Obtenez un nouveau trou,,새 구멍 얻기,Conseguir un nuevo agujero,Ottieni un nuovo foro,एक नया छेद प्राप्त करें
boost_ghost_guide,Hộp dụng cụ đôi,Tap any worm to go the hole,Kotak Alat Ganda,,Двойной ящик,Doppel-Werkzeugkiste,ダブルツールボックス,,雙工具箱,,Caixa de Ferramentas Dupla,Boîte à outils double,,더블 도구 상자,Caja de herramientas doble,Doppia cassetta degli attrezzi,डबल टूलबॉक्स
settings_change_name,Đổi tên,CHANGE NAME,GANTI NAMA,,СМЕНИТЬ ИМЯ,NAMEN ÄNDERN,名前を変更,,更改名稱,,ALTERAR NOME,CHANGER DE NOM,,이름 변경,CAMBIAR NOMBRE,CAMBIA NOME,नाम बदलें
settings_privacy,Quyền riêng tư,PRIVACY,PRIVASI,,КОНФИДЕНЦИАЛЬНОСТЬ,DATENSCHUTZ,プライバシー,,隱私,,PRIVACIDADE,CONFIDENTIALITÉ,,개인정보 보호,PRIVACIDAD,PRIVACY,गोपनीयता
settings,Cài đặt,SETTINGS,PENGATURAN,,НАСТРОЙКИ,EINSTELLUNGEN,設定,,設定,,CONFIGURAÇÕES,PARAMÈTRES,,설정,AJUSTES,IMPOSTAZIONI,सेटिंग्स
no_more_move,Hết nước đi,NO MORE MOVES,TIDAK ADA LAGI LANGKAH,,БОЛЬШЕ НЕТ ХОДОВ,KEINE ZÜGE MEHR,移動できない,,沒有更多步數,,SEM MAIS MOVIMENTOS,PLUS DE COUPS,,더 이상 이동할 수 없음,SIN MÁS MOVIMIENTOS,NESSUNA MOSSA DISPONIBILE,कोई और चाल नहीं
stuck_ice_content,Ốc bị kẹt trong băng! Tiếp tục chơi để phá băng.,Screw stuck in ice! Keep playing to break all the ice.,Sekrup terjebak di es! Terus bermain untuk memecahkan semua es.,,"Винт застрял в льду! Продолжайте играть, чтобы разбить весь лёд.","Schraube im Eis festgefroren! Spiele weiter, um alles Eis zu brechen.",ネジが氷に閉じ込められた！氷をすべて壊すためにプレイし続けてください。,,螺絲卡在冰中！繼續玩以打破所有的冰。,,Parafuso preso no gelo! Continue jogando para quebrar todo o gelo.,Vis coincée dans la glace ! Continuez à jouer pour briser toute la glace.,,나사가 얼음에 갇혔어요! 계속해서 얼음을 모두 깨세요.,Tornillo atascado en el hielo! Sigue jugando para romper todo el hielo.,Vite bloccata nel ghiaccio! Continua a giocare per rompere tutto il ghiaccio.,स्क्रू बर्फ में फंसा है! सारी बर्फ तोड़ने के लिए खेलते रहें।
stuck_toggle_content,Cửa chớp bị đóng! Tiếp tục chơi để mở cửa chớp.,Shutter is closed! Keep playing to remove all the shutters.,Jendela tertutup! Terus bermain untuk membuka semua jendela.,,"Жалюзи закрыты! Продолжайте играть, чтобы снять все жалюзи.","Der Rollladen ist geschlossen! Spiele weiter, um alle Rollläden zu entfernen.",シャッターが閉じています！シャッターをすべて取り除くためにプレイし続けてください。,,百葉窗關閉了！繼續玩以移除所有百葉窗。,,Persiana fechada! Continue jogando para remover todas as persianas.,Volet fermé ! Continuez à jouer pour enlever tous les volets.,,셔터가 닫혔어요! 계속해서 셔터를 모두 제거하세요.,Persiana cerrada! Sigue jugando para quitar todas las persianas.,Tapparella chiusa! Continua a giocare per rimuovere tutte le tapparelle.,शटर बंद है! सभी शटर हटाने के लिए खेलते रहें।
bomb_exploded_title,Nổ,Explosion!,Ledakan!,,Взрыв!,Explosion!,爆発！,,爆炸！,,Explosão!,Explosion !,,폭발!,¡Explosión!,Esplosione!,विस्फोट!
bomb_exploded_content,Bom đã nổ! Tiếp tục chơi để hồi sinh.,The bomb exploded! Keep playing to revive.,Bom meledak! Terus bermain untuk hidup kembali.,,"Бомба взорвалась! Продолжайте играть, чтобы возродиться.","Die Bombe ist explodiert! Spiele weiter, um dich wiederzubeleben.",爆弾が爆発しました！復活するためにプレイし続けてください。,,炸彈爆炸了！繼續玩以復活。,,A bomba explodiu! Continue jogando para reviver.,La bombe a explosé ! Continuez à jouer pour vous ressusciter.,,폭탄이 터졌어요! 부활하려면 계속 플레이하세요.,¡La bomba explotó! Sigue jugando para revivir.,La bomba è esplosa! Continua a giocare per rivivere.,बम फट गया! पुनर्जीवित होने के लिए खेलते रहें।
time_up,Hết giờ,OUT OF TIME!,WAKTU HABIS,,ВРЕМЯ ВЫШЛО,ZEIT ABGELAUFEN,タイムアップ,,時間到,,TEMPO ACABOU,TEMPS ÉCOULÉ,,시간이 끝났습니다,TIEMPO AGOTADO,TEMPO SCADUTO,समय समाप्त
